Municipality,Canton,TLS,correct redirect,people
Cheseaux-sur-Lausanne,VD,False,False,4357
Chéserex,VD,True,False,1220
Chessel,VD,False,False,402
Chevilly,VD,True,True,298
Chevroux,VD,False,False,469
Chexbres,VD,True,True,2255
Chigny,VD,True,True,338
Clarmont,VD,False,False,189
Coinsins,VD,False,False,483
Commugny,VD,False,False,2848
Concise,VD,False,False,970
Coppet,VD,False,False,3152
Corbeyrier,VD,False,False,437
Corcelles-le-Jorat,VD,False,False,458
Corcelles-près-Concise,VD,True,True,377
Corcelles-près-Payerne,VD,True,True,2443
Corseaux,VD,False,False,2278
Corsier-sur-Vevey,VD,True,True,3401
Cossonay,VD,False,False,3813
Cottens (VD),VD,True,True,478
Crans-près-Céligny,VD,False,False,2182
Crassier,VD,True,True,1153
Crissier,VD,True,True,8037
Cronay,VD,True,True,380
Croy,VD,True,True,379
Cuarnens,VD,False,False,479
Cuarny,VD,True,True,240
Cudrefin,VD,True,False,1589
Cugy (VD),VD,False,False,2735
Curtilles,VD,False,False,318
Daillens,VD,False,False,999
Démoret,VD,False,False,146
Denens,VD,True,True,774
Denges,VD,True,True,1617
Dizy,VD,False,False,229
Dompierre (VD),VD,False,False,259
Donneloye,VD,False,False,809
Duillier,VD,True,True,1080
Dully,VD,False,False,639
Echallens,VD,False,False,5732
Echandens,VD,False,False,2762
Echichens,VD,True,True,2706
Eclépens,VD,False,False,1093
Ecublens (VD),VD,True,True,12488
Epalinges,VD,True,True,9333
Ependes (VD),VD,False,False,361
Essertes,VD,True,True,347
Essertines-sur-Rolle,VD,False,False,691
Essertines-sur-Yverdon,VD,True,True,981
Etagnières,VD,False,False,1117
Etoy,VD,False,False,2919
Eysins,VD,True,True,1601
Faoug,VD,False,False,895
Féchy,VD,True,True,896
Ferreyres,VD,False,False,321
Fey,VD,False,False,703
Fiez,VD,False,False,425
Fontaines-sur-Grandson,VD,True,False,210
Forel (Lavaux),VD,False,False,2083
Founex,VD,False,False,3796
Froideville,VD,False,False,2557
Genolier,VD,False,False,1937
Giez,VD,True,True,421
Gilly,VD,True,True,1309
Gimel,VD,False,False,2016
Gingins,VD,False,False,1210
Givrins,VD,False,False,989
Gland,VD,False,False,13078
Gollion,VD,True,True,917
Goumoëns,VD,False,False,1110
Grancy,VD,False,False,403
Grandcour,VD,False,False,888
Grandevent,VD,False,False,229
Grandson,VD,False,False,3280
Grens,VD,False,False,381
Gryon,VD,False,False,1364
Henniez,VD,False,False,359
Hermenches,VD,False,False,379
Jongny,VD,False,False,1550
Jorat-Menthue,VD,False,False,1529
Jorat-Mézières,VD,False,False,2847
Jouxtens-Mézery,VD,False,False,1469
Juriens,VD,False,False,309
La Chaux (Cossonay),VD,False,False,421
La Praz,VD,True,True,161
La Rippe,VD,True,True,1167
La Sarraz,VD,True,True,2596
La Tour-de-Peilz,VD,False,False,11752
L&#39;Abbaye,VD,False,False,1493
L&#39;Abergement,VD,False,False,237
Lausanne,VD,True,False,138905
Lavey-Morcles,VD,False,False,925
Lavigny,VD,False,False,1012
Le Chenit,VD,False,False,4597
Le Lieu,VD,False,False,868
Le Mont-sur-Lausanne,VD,True,True,8097
Le Vaud,VD,False,False,1274
Les Clées,VD,False,False,181
Leysin,VD,True,True,4032
Lignerolle,VD,True,True,416
L&#39;Isle,VD,False,False,1000
Lonay,VD,False,False,2491
Longirod,VD,False,False,469
Lovatens,VD,False,False,141
Lucens,VD,False,False,4133
Luins,VD,True,False,605
Lully (VD),VD,True,False,794
Lussery-Villars,VD,False,False,459
Lussy-sur-Morges,VD,False,False,668
Lutry,VD,True,True,9986
Maracon,VD,False,False,475
Marchissy,VD,True,True,454
Mathod,VD,False,False,616
Mauborget,VD,False,False,119
